Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,ING Groep NVING:US,7 Feb2024,12 Jan2024,days24,Spouse,sell,1K–15K,$14.09
Ro KhannaDemocratHouseCA,Berry Global Group IncBERY:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$66.37
Ro KhannaDemocratHouseCA,Dynatrace IncDT:US,7 Feb2024,10 Jan2024,days26,Spouse,sell,1K–15K,$54.87
Ro KhannaDemocratHouseCA,Westpac Banking CorpWBK:US,7 Feb2024,16 Jan2024,days20,Spouse,buy,15K–50K,N/A
Ro KhannaDemocratHouseCA,Cigna CorpCI:US,7 Feb2024,16 Jan2024,days20,Spouse,buy,15K–50K,$306.94
Ro KhannaDemocratHouseCA,Constellation Brands IncSTZ:US,7 Feb2024,16 Jan2024,days20,Spouse,buy,1K–15K,$255.38
Ro KhannaDemocratHouseCA,State Street CorporationSTT:US,7 Feb2024,24 Jan2024,days12,Spouse,buy,1K–15K,$73.84
Ro KhannaDemocratHouseCA,Pfizer IncPFE:US,7 Feb2024,31 Jan2024,days5,Spouse,buy,1K–15K,$27.08
Ro KhannaDemocratHouseCA,CarMax IncKMX:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$72.53
Ro KhannaDemocratHouseCA,PepsiCo IncPEP:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$172.95
Ro KhannaDemocratHouseCA,BorgWarner IncBWA:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$34.03
Ro KhannaDemocratHouseCA,KeyCorpKEY:US,7 Feb2024,31 Jan2024,days5,Spouse,buy,1K–15K,$14.53
Ro KhannaDemocratHouseCA,KeyCorpKEY:US,7 Feb2024,31 Jan2024,days5,Spouse,buy,1K–15K,$14.53
Ro KhannaDemocratHouseCA,Texas Instruments IncTXN:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$166.74
